Serial Number,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion,Age Group,Occupation Category
9465,1,Paladin Lane,Mandy,Adams,87,Head,Widowed,Female,Retired Engineering geologist,Not Specified,Unknown,85-89,Retired
2782,1,Craig Unions,Jayne,Ali,24,Lodger,Single,Female,Environmental consultant,Not Specified,Sikh,20-24,Other
10421,1,Hayward Manorhouse,Paige,Allen,45,Head,Single,Female,"Scientist, physiological",Not Specified,Catholic,45-49,Science
9475,1,Brightwaterloop Drive,Beth,Anderson,7,Daughter,Minor,Female,Student,Not Specified,Methodist,5-9,Student
9474,1,Brightwaterloop Drive,Gerard,Anderson,9,Son,Minor,Male,Student,Not Specified,Methodist,5-9,Student
9473,1,Brightwaterloop Drive,Leonard,Anderson,12,Son,Minor,Male,Student,Not Specified,Methodist,10-14,Student
9472,1,Brightwaterloop Drive,Gerard,Anderson,13,Son,Minor,Male,Student,Not Specified,Methodist,10-14,Student
9471,1,Brightwaterloop Drive,Harriet,Anderson,36,Head,Single,Female,Bonds trader,Not Specified,Methodist,35-39,Other
1472,1,Butterfly Street,Jill,Andrews,79,Head,Married,Female,"Retired Programmer, applications",Not Specified,Catholic,75-79,Retired
1473,1,Butterfly Street,Jordan,Andrews,84,Husband,Married,Male,Retired Neurosurgeon,Not Specified,Catholic,80-84,Retired
7765,1,Sheffield Plaza,Ricky,Atkinson,3,Son,Minor,Male,Child,Not Specified,Christian,0-4,Child
392,1,Bassenthwaite Motorway,Mandy,Atkinson,11,Daughter,Minor,Female,Student,Not Specified,Christian,10-14,Student
7763,1,Sheffield Plaza,Joanna,Atkinson,28,Head,Married,Female,"Engineer, aeronautical",Not Specified,Christian,25-29,Engineering
7764,1,Sheffield Plaza,Geoffrey,Atkinson,31,Husband,Married,Male,Unemployed,Not Specified,Unknown,30-34,Unemployed
390,1,Bassenthwaite Motorway,Eleanor,Atkinson,40,Head,Married,Female,Magazine features editor,Not Specified,Christian,40-44,Tech
391,1,Bassenthwaite Motorway,Max,Atkinson,43,Husband,Married,Male,Restaurant manager,Not Specified,Christian,40-44,Management
3710,1,Spider Avenue,Gillian,Austin,13,Daughter,Minor,Female,Student,Not Specified,Christian,10-14,Student
3709,1,Spider Avenue,Katherine,Austin,17,Daughter,Minor,Female,Student,Not Specified,Christian,15-19,Student
3708,1,Spider Avenue,Molly,Austin,21,Daughter,Single,Female,University Student,Not Specified,Unknown,20-24,Tech
3706,1,Spider Avenue,Paula,Austin,51,Head,Married,Female,Unemployed,Not Specified,Christian,50-54,Unemployed
3707,1,Spider Avenue,Hugh,Austin,56,Husband,Married,Male,Environmental health practitioner,Not Specified,Christian,55-59,Tech
4192,1,Lichfield Pass,Neil,Baker,2,Son,Minor,Male,Child,Physical Disability,Methodist,0-4,Child
4190,1,Lichfield Pass,Eleanor,Baker,19,Head,Married,Female,University Student,Not Specified,Methodist,15-19,Tech
4191,1,Lichfield Pass,Lawrence,Baker,19,Husband,Married,Male,University Student,Not Specified,Unknown,15-19,Tech
10407,1,Guinevere Tower,Gillian,Ball,4,Daughter,Minor,Female,Child,Not Specified,Catholic,0-4,Child
10406,1,Guinevere Tower,Raymond,Ball,15,Son,Minor,Male,Student,Not Specified,Catholic,15-19,Student
10405,1,Guinevere Tower,Debra,Ball,19,Daughter,Single,Female,University Student,Not Specified,Catholic,15-19,Tech
848,1,Norris Shores,Arthur,Ball,24,Son,Single,Male,Ship broker,Not Specified,Christian,20-24,Other
10404,1,Guinevere Tower,Oliver,Ball,41,Husband,Married,Male,"Designer, graphic",Not Specified,Unknown,40-44,Creative Arts
10403,1,Guinevere Tower,Brenda,Ball,43,Head,Married,Female,Water quality scientist,Not Specified,Catholic,40-44,Tech
